duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
5.016666666666667,2013-09-18 17:09:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
28.966666666666665,2013-09-18 17:10:00,2013,9,17,2,San Francisco,San Francisco,Customer
8.483333333333333,2013-09-18 17:10:00,2013,9,17,2,San Francisco,San Francisco,Customer
7.1,2013-09-18 17:10:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
13.3,2013-09-18 17:10:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
3.9833333333333334,2013-09-18 17:11:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
8.416666666666666,2013-09-18 17:11:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
3.9833333333333334,2013-09-18 17:12:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
6.366666666666666,2013-09-18 17:12:00,2013,9,17,2,San Francisco,San Francisco,Customer
5.483333333333333,2013-09-18 17:12:00,2013,9,17,2,San Francisco,San Francisco,Customer
8.75,2013-09-18 17:12:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
7.216666666666667,2013-09-18 17:13:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
4.9,2013-09-18 17:13:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
11.683333333333334,2013-09-18 17:15:00,2013,9,17,2,Palo Alto,Palo Alto,Subscriber
8.466666666666667,2013-09-18 17:15:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
10.116666666666667,2013-09-18 17:16:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
9.6,2013-09-18 17:16:00,2013,9,17,2,San Francisco,San Francisco,Customer
9.25,2013-09-18 17:17:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
7.2,2013-09-18 17:18:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
5.916666666666667,2013-09-18 17:19:00,2013,9,17,2,San Francisco,San Francisco,Customer
6.766666666666667,2013-09-18 17:19:00,2013,9,17,2,San Francisco,San Francisco,Customer
7.0,2013-09-18 17:19:00,2013,9,17,2,San Francisco,San Francisco,Customer
7.116666666666666,2013-09-18 17:20:00,2013,9,17,2,San Francisco,San Francisco,Customer
8.0,2013-09-18 17:20:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
4.0,2013-09-18 17:20:00,2013,9,17,2,San Francisco,San Francisco,Customer
14.933333333333334,2013-09-18 17:21:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
16.533333333333335,2013-09-18 17:21:00,2013,9,17,2,San Francisco,San Francisco,Customer
9.366666666666667,2013-09-18 17:22:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
3.7333333333333334,2013-09-18 17:22:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
7.333333333333333,2013-09-18 17:22:00,2013,9,17,2,San Francisco,San Francisco,Customer
19.25,2013-09-18 17:22:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
10.95,2013-09-18 17:23:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
23.866666666666667,2013-09-18 17:23:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
10.933333333333334,2013-09-18 17:24:00,2013,9,17,2,San Jose,San Jose,Subscriber
8.483333333333333,2013-09-18 17:24:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
8.466666666666667,2013-09-18 17:24:00,2013,9,17,2,San Francisco,San Francisco,Customer
7.416666666666667,2013-09-18 17:25:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
12.4,2013-09-18 17:26:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
12.083333333333334,2013-09-18 17:26:00,2013,9,17,2,San Francisco,San Francisco,Customer
13.016666666666667,2013-09-18 17:27:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
13.066666666666666,2013-09-18 17:27:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
15.083333333333334,2013-09-18 17:27:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
16.833333333333332,2013-09-18 17:28:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
11.2,2013-09-18 17:28:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
9.55,2013-09-18 17:28:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
8.45,2013-09-18 17:29:00,2013,9,17,2,San Francisco,San Francisco,Customer
4.65,2013-09-18 17:29:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
7.75,2013-09-18 17:29:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
14.116666666666667,2013-09-18 17:30:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
18.833333333333332,2013-09-18 17:31:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
11.466666666666667,2013-09-18 17:31:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
23.933333333333334,2013-09-18 17:31:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
24.683333333333334,2013-09-18 17:32:00,2013,9,17,2,San Francisco,San Francisco,Customer
22.0,2013-09-18 17:33:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
5.733333333333333,2013-09-18 17:33:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
6.683333333333334,2013-09-18 17:34:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
5.9,2013-09-18 17:34:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
4.466666666666667,2013-09-18 17:34:00,2013,9,17,2,San Jose,San Jose,Customer
16.016666666666666,2013-09-18 17:35:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
18.35,2013-09-18 17:35:00,2013,9,17,2,San Francisco,San Francisco,Customer
12.95,2013-09-18 17:36:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
10.9,2013-09-18 17:37:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
8.6,2013-09-18 17:34:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
4.233333333333333,2013-09-18 17:37:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
5.2,2013-09-18 17:38:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
6.183333333333334,2013-09-18 17:38:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
6.85,2013-09-18 17:39:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
5.316666666666666,2013-09-18 17:39:00,2013,9,17,2,San Jose,San Jose,Subscriber
19.75,2013-09-18 17:39:00,2013,9,17,2,San Francisco,San Francisco,Customer
11.166666666666666,2013-09-18 17:41:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
4.033333333333333,2013-09-18 17:41:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
10.7,2013-09-18 17:42:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
12.016666666666667,2013-09-18 17:42:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
4.983333333333333,2013-09-18 17:42:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
14.933333333333334,2013-09-18 17:42:00,2013,9,17,2,San Francisco,San Francisco,Customer
14.5,2013-09-18 17:42:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
14.85,2013-09-18 17:43:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
25.05,2013-09-18 17:44:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
12.05,2013-09-18 17:44:00,2013,9,17,2,San Francisco,San Francisco,Customer
13.533333333333333,2013-09-18 17:45:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
25.116666666666667,2013-09-18 17:45:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
23.0,2013-09-18 17:46:00,2013,9,17,2,San Francisco,San Francisco,Customer
16.333333333333332,2013-09-18 17:47:00,2013,9,17,2,San Francisco,San Francisco,Customer
8.25,2013-09-18 17:47:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
8.283333333333333,2013-09-18 17:48:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
10.316666666666666,2013-09-18 17:48:00,2013,9,17,2,San Francisco,San Francisco,Customer
10.516666666666667,2013-09-18 17:48:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
5.95,2013-09-18 17:48:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
9.166666666666666,2013-09-18 17:49:00,2013,9,17,2,San Francisco,San Francisco,Subscriber
